year,make,model,model_type,score_band,mileage_band,comparable_count,median_price_yen,mean_price_yen,min_price_yen,max_price_yen
2006,MITSUBISHI,CANTER,FE82DE,3-3.5,200k+,1,606000,606000,606000,606000
2006,MITSUBISHI,CANTER,FE82DE,3-3.5,90k-120k,3,706000,675666,489000,832000
2006,MITSUBISHI,CANTER,FE82DE,R,90k-120k,1,597000,597000,597000,597000
2006,MITSUBISHI,CANTER,FE82DEV,3-3.5,200k+,3,646000,668000,604000,754000
2006,MITSUBISHI,CANTER,FE82DEV,R,200k+,1,588000,588000,588000,588000
2006,MITSUBISHI,CANTER,FE82DEX,3-3.5,200k+,1,526000,526000,526000,526000
2006,MITSUBISHI,CANTER,FE82DG,3-3.5,150k-200k,1,548000,548000,548000,548000
2006,MITSUBISHI,CANTER,FE82DG,3-3.5,200k+,3,523000,552000,478000,655000
2006,MITSUBISHI,CANTER,FE82DG,R,150k-200k,1,492000,492000,492000,492000
2006,MITSUBISHI,CANTER,FE82DG,R,200k+,1,1110000,1110000,1110000,1110000
2006,MITSUBISHI,CANTER,FE83DC,3-3.5,200k+,1,267000,267000,267000,267000
2006,MITSUBISHI,CANTER,FE83DC,3-3.5,90k-120k,1,510000,510000,510000,510000
2006,MITSUBISHI,CANTER,FE83DEN,3-3.5,200k+,2,1039000,1039000,790000,1288000
2006,MITSUBISHI,CANTER,FE83DEN,R,150k-200k,2,873500,873500,635000,1112000
2006,MITSUBISHI,CANTER,FE83DEY,3-3.5,200k+,6,1136000,1222500,1000000,1791000
2006,MITSUBISHI,CANTER,FE83DGN,3-3.5,150k-200k,1,2614000,2614000,2614000,2614000
2006,MITSUBISHI,CANTER,FE83DGN,3-3.5,60k-90k,1,2488000,2488000,2488000,2488000
2006,MITSUBISHI,CANTER,FE83DGN,R,200k+,1,1510000,1510000,1510000,1510000
2006,MITSUBISHI,CANTER,FE83DGY,3-3.5,200k+,2,756000,756000,635000,877000
2006,MITSUBISHI,CANTER,FE83DGY,R,200k+,2,1005000,1005000,670000,1340000
2006,MITSUBISHI,CANTER,FE88DEV,3-3.5,200k+,2,525500,525500,516000,535000
2006,MITSUBISHI,CANTER,FF83DFY,R,200k+,1,413000,413000,413000,413000
2006,MITSUBISHI,CANTER,FG70DB,3-3.5,120k-150k,1,760000,760000,760000,760000
2006,MITSUBISHI,CANTER,FG70DB,3-3.5,200k+,1,394000,394000,394000,394000
2006,MITSUBISHI,CANTER,FG70DB,3-3.5,90k-120k,1,730000,730000,730000,730000
2006,MITSUBISHI,CANTER,FG72DB,3-3.5,150k-200k,1,608000,608000,608000,608000
2006,MITSUBISHI,CANTER,FG83DE,3-3.5,200k+,1,2075000,2075000,2075000,2075000
2006,MITSUBISHI,CANTER,PA-FE70DB,R,200k+,1,310000,310000,310000,310000
2007,MAZDA,TITAN,LJR85A,3-3.5,30k-60k,1,720000,720000,720000,720000
2007,MAZDA,TITAN,LJR85AN,3-3.5,200k+,1,536000,536000,536000,536000
2007,MAZDA,TITAN,LKR81AN,3-3.5,150k-200k,1,223000,223000,223000,223000
2007,MAZDA,TITAN,LKR85A,3-3.5,200k+,1,469000,469000,469000,469000
2007,MAZDA,TITAN,LKR85AD,3-3.5,200k+,2,742000,742000,724000,760000
